state,x,y
Chitral,105,175
Gilgit,155,190
Skardu,205,170
Hunza,175,205
Muzaffarabad,150,115
Rawalakot,120,90
Mirpur,155,60
Abbottabad,105,100
Mansehra,90,105
Mingora,55,110
Peshawar,35,80
Nowshera,50,65
Kohat,25,45
Bannu,30,15
Dera Ismail Khan,25,-15
Islamabad,105,65
Rawalpindi,100,55
Attock,70,75
Jhelum,125,40
Gujrat,150,50
Sialkot,175,65
Gujranwala,165,35
Lahore,165,5
Sheikhupura,170,15
Faisalabad,145,-15
Jhang,120,-35
Sargodha,115,10
Mianwali,75,15
Multan,105,-70
Bahawalpur,135,-95
Rahim Yar Khan,130,-125
Dera Ghazi Khan,65,-80
Sahiwal,145,-50
Okara,140,-35
Sukkur,5,-110
Larkana,-20,-95
Nawabshah,20,-140
Hyderabad,30,-170
Karachi,0,-195
Thatta,20,-190
Jacobabad,-5,-125
Gwadar,-105,-210
Turbat,-80,-180
Khuzdar,-55,-130
Quetta,-45,-70
Zhob,15,5
Chaman,-70,-30
Sibi,-10,-80
Dera Bugti,20,-100
Kalat,-65,-105
Hub,-20,-180
Lasbela,-45,-155
Mastung,-55,-50
Loralai,-15,-30
Nushki,-80,-65
Pasni,-95,-160
Ormara,-80,-145
Khairpur,-5,-95
Mirpur Khas,25,-155
Dadu,5,-120
